Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Connor Hellebuyck,24,WPG,G,67,64,44,11,9,156,2048,1892,.924,2.36,6,3965:54,39,.609,6,87,23.7,2.54,14.0,0,2,2,0,ASGASnhl-2Hart-13Vezina-2,helleco01
2,Cam Talbot,30,EDM,G,67,67,31,31,3,188,2036,1848,.908,3.02,1,3730:06,32,.478,11,105,-9.3,3.27,10.3,0,1,1,8,,talboca01
3,Frederik Andersen,28,TOR,G,66,66,38,21,5,182,2211,2029,.918,2.81,5,3888:31,37,.561,8,94,12.1,3.02,13.6,0,1,1,2,ASnhl-11Vezina-4,anderfr01
4,Sergei Bobrovsky,29,CBJ,G,65,65,37,22,6,158,1993,1835,.921,2.42,5,3911:34,38,.585,10,90,16.9,2.61,12.9,0,3,3,0,ASnhl-5Hart-15Vezina-8,bobrose01
5,Andrei Vasilevskiy,23,TBL,G,65,64,44,17,3,167,2075,1908,.920,2.62,8,3825:11,36,.563,8,92,15.1,2.82,13.2,0,2,2,14,ASGASnhl-3Vezina-3,vasilan02
6,Jonathan Quick,32,LAK,G,64,63,33,28,3,147,1867,1720,.921,2.40,5,3677:05,37,.587,7,90,16.9,2.58,12.2,0,4,4,10,ASnhl-9Jennings-1Vezina-9,quickjo01
7,Henrik Lundqvist,35,NYR,G,63,61,26,26,7,174,2036,1862,.915,2.98,2,3502:32,32,.525,9,97,4.7,3.22,11.9,0,1,1,0,ASG,lundqhe01
8,Devan Dubnyk,31,MIN,G,60,59,35,16,7,145,1769,1624,.918,2.52,5,3450:19,36,.610,8,93,10.3,2.71,11.0,0,3,3,12,,dubnyde01
9,John Gibson,24,ANA,G,60,60,31,18,7,139,1872,1733,.926,2.43,4,3428:29,39,.650,4,85,25.3,2.63,13.2,0,1,1,16,ASnhl-6,gibsojo02
10,Jimmy Howard,33,DET,G,60,57,22,27,9,160,1770,1610,.910,2.85,1,3367:37,28,.491,6,103,-4.7,3.08,9.4,0,1,1,10,,howarja02
11,Martin Jones,28,SJS,G,60,60,30,22,6,145,1699,1554,.915,2.55,4,3415:44,36,.600,9,97,4.1,2.74,9.9,0,0,0,2,,jonesma02
12,Jacob Markström,28,VAN,G,60,57,23,26,7,154,1745,1591,.912,2.71,2,3413:43,29,.509,8,101,-0.8,2.92,9.6,0,3,3,4,,marksja02
13,Jake Allen,27,STL,G,59,56,27,25,3,152,1614,1462,.906,2.75,1,3316:58,27,.482,8,107,-10.3,2.97,7.9,0,1,1,0,,allenja01
14,Pekka Rinne,35,NSH,G,59,59,42,13,4,134,1840,1706,.927,2.31,8,3475:27,40,.678,5,83,27.5,2.49,13.2,0,1,1,6,ASGASnhl-1Hart-12Vezina-1,rinnepe01
15,Craig Anderson,36,OTT,G,58,55,23,25,6,180,1768,1588,.898,3.32,2,3250:32,25,.455,11,116,-24.8,3.60,7.2,0,0,0,2,,andercr01
16,Mike Smith,35,CGY,G,55,55,25,22,6,141,1686,1545,.916,2.65,3,3190:36,32,.582,9,95,7.0,2.86,10.2,0,2,2,8,ASG,smithmi01
17,Jaroslav Halák,32,NYI,G,54,49,20,26,6,161,1744,1583,.908,3.19,1,3024:03,22,.449,8,105,-7.9,3.45,8.9,0,0,0,4,,halakja01
18,Braden Holtby,28,WSH,G,54,54,34,16,4,153,1648,1495,.907,2.99,0,3067:48,30,.556,9,106,-8.4,3.23,8.3,0,0,0,2,ASG,holtbbr01
19,Tuukka Rask,30,BOS,G,54,53,34,14,5,125,1513,1388,.917,2.36,3,3173:05,30,.566,6,94,7.8,2.53,9.3,0,2,2,4,ASnhl-8Vezina-7,rasktu01
20,Ben Bishop,31,DAL,G,53,51,26,17,5,120,1437,1317,.916,2.49,5,2886:50,27,.529,8,95,6.1,2.68,8.7,0,1,1,4,,bishobe01
21,Robin Lehner,26,BUF,G,53,50,14,26,9,143,1560,1417,.908,3.01,3,2852:01,24,.480,8,104,-6.1,3.26,8.0,0,0,0,2,,lehnero01
22,Semyon Varlamov,29,COL,G,51,47,24,16,6,128,1595,1467,.920,2.68,2,2861:03,28,.596,5,91,12.0,2.89,10.2,0,0,0,2,,varlasi01
23,Matt Murray,23,PIT,G,49,45,27,16,3,133,1423,1290,.907,2.92,1,2732:58,19,.422,6,106,-8.1,3.16,7.0,0,1,1,2,,murrama02
24,Carey Price,30,MTL,G,49,48,16,26,7,148,1487,1339,.900,3.11,1,2854:37,21,.438,10,113,-17.5,3.36,6.4,0,0,0,0,ASG,priceca01
25,Antti Raanta,28,ARI,G,47,46,21,17,6,97,1388,1291,.930,2.24,3,2599:07,32,.696,6,80,24.8,2.40,10.4,0,0,0,0,ASnhl-7,raantan01
26,Marc-André Fleury,33,VEG,G,46,46,29,13,4,100,1376,1276,.927,2.24,4,2673:24,31,.674,4,83,20.8,2.42,9.9,0,1,1,6,ASGASnhl-4Vezina-5,fleurma01
27,James Reimer,29,FLA,G,44,42,22,14,6,120,1373,1253,.913,2.99,4,2411:25,22,.524,8,100,0.5,3.23,7.7,0,1,1,4,,reimeja01
28,Scott Darling,29,CAR,G,43,40,13,21,7,131,1171,1040,.888,3.18,0,2475:07,14,.350,7,127,-28.2,3.44,3.5,0,0,0,2,,darlisc01
29,Brian Elliott,32,PHI,G,43,42,23,11,7,112,1228,1116,.909,2.66,1,2522:00,20,.476,6,104,-4.2,2.88,6.4,0,1,1,2,,elliobr01
