Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Connor Hellebuyck,31,WPG,G,63,62,47,12,3,125,1664,1539,.925,2.00,8,3741:22,45,.726,4,75,41.6,2.13,14.5,0,1,1,2,ASnhl-1Hart-1Jennings-1Vezina-1,helleco01
2,Andrei Vasilevskiy,30,TBL,G,63,63,38,20,5,136,1716,1580,.921,2.18,6,3743:05,41,.651,8,79,35.8,2.31,14.2,0,2,2,8,ASnhl-2Hart-18Vezina-2,vasilan02
3,Sam Montembeault,28,MTL,G,62,60,31,24,7,166,1679,1513,.901,2.82,4,3533:59,32,.533,13,99,2.1,3.01,10.5,0,1,1,0,ASnhl-12Vezina-8,montesa01
4,Igor Shesterkin,29,NYR,G,61,61,27,29,5,167,1751,1584,.905,2.86,6,3505:08,34,.557,17,95,8.4,3.05,11.6,0,0,0,6,ASnhl-9,shestig01
5,Ilya Sorokin,29,NYI,G,61,60,30,24,6,158,1695,1537,.907,2.71,4,3498:51,37,.617,11,93,11.7,2.90,11.6,1,2,3,2,ASnhl-11Vezina-6,sorokil01
6,Filip Gustavsson,26,MIN,G,58,58,31,19,6,146,1692,1546,.914,2.56,5,3423:35,40,.690,8,86,23.4,2.73,12.8,1,1,2,0,ASnhl-6Hart-18Vezina-6,gustafi01
7,Jake Oettinger,26,DAL,G,58,58,36,18,4,147,1611,1464,.909,2.59,2,3410:04,35,.603,12,91,14.3,2.76,11.4,0,1,1,0,ASnhl-4Vezina-8,oettija01
8,Juuse Saros,29,NSH,G,58,58,20,31,6,167,1592,1425,.895,2.98,4,3357:49,28,.483,12,105,-7.6,3.20,8.9,0,1,1,4,,sarosju01
9,Jeremy Swayman,26,BOS,G,58,58,22,29,7,176,1632,1456,.892,3.11,4,3390:35,29,.500,14,108,-12.6,3.33,8.7,0,0,0,2,,swaymje01
10,Karel Vejmelka,28,UTA,G,58,55,26,22,8,145,1507,1362,.904,2.58,1,3368:20,29,.527,11,96,5.9,2.76,9.8,0,1,1,0,,vejmeka01
11,Joey Daccord,28,SEA,G,57,55,27,23,5,151,1599,1448,.906,2.75,2,3295:15,34,.618,8,94,9.1,2.93,10.7,0,2,2,0,,daccojo01
12,Jordan Binnington,31,STL,G,56,54,28,22,5,145,1457,1312,.900,2.69,3,3238:59,31,.574,12,99,0.9,2.87,9.0,0,0,0,6,,binnijo01
13,Mackenzie Blackwood,28,2TM,G,56,53,28,21,6,137,1549,1412,.912,2.55,4,3223:38,34,.642,7,88,18.1,2.74,11.4,0,1,1,2,ASnhl-9,blackma01
13,Mackenzie Blackwood,28,SJS,G,19,17,6,9,3,53,583,530,.909,3.00,1,1058:33,10,.588,4,91,5.4,3.23,4.1,0,0,0,0,,blackma01
13,Mackenzie Blackwood,28,COL,G,37,36,22,12,3,84,966,882,.913,2.33,3,2165:05,24,.667,3,87,12.7,2.49,7.2,0,1,1,2,,blackma01
14,Ukko-Pekka Luukkonen,25,BUF,G,55,55,24,24,5,169,1489,1320,.887,3.20,2,3172:13,28,.509,16,113,-19.9,3.42,7.0,0,1,1,2,,luukkuk01
15,Sergei Bobrovsky,36,FLA,G,54,54,33,19,2,130,1375,1245,.905,2.44,5,3199:59,32,.593,11,94,7.7,2.59,9.2,0,1,1,4,ASnhl-8,bobrose01
16,Lukáš Dostál,24,ANA,G,54,49,23,23,7,158,1625,1467,.903,3.10,1,3057:39,27,.551,7,97,4.7,3.32,10.4,0,0,0,0,ASnhl-12,dostalu01
17,Elvis Merzļikins,30,CBJ,G,53,52,26,21,5,168,1557,1389,.892,3.18,1,3170:55,25,.481,14,108,-12.1,3.41,8.3,0,1,1,8,,merzlel01
