Cale Makar, D, COL: 87
Evan Bouchard, D, EDM: 86
Quinn Hughes, D, MIN: 86
Zach Werenski, D, CBJ: 83
Lane Hutson, D, MTL: 80
Rasmus Dahlin, D, BUF: 75
Adam Fox, D, NYR: 74
Roman Josi, D, NSH: 72
Matthew Schaefer, D, NYI: 72
Erik Karlsson, D, PIT: 70
Darren Raddysh, D, TOR: 66
Mikhail Sergachev, D, UTA: 66
Jackson LaCombe, D, ANA: 65
Charlie McAvoy, D, BOS: 65
Miro Heiskanen, D, DAL: 65
Moritz Seider, D, DET: 65
Jake Sanderson, D, OTT: 65
John Carlson, D, TBL: 65
Jakob Chychrun, D, WSH: 63
Josh Morrissey, D, WPG: 59
Brock Faber, D, MIN: 57
Shea Theodore, D, VGK: 57
Brandt Clarke, D, LAK: 55
Noah Dobson, D, MTL: 55
Victor Hedman, D, TBL: 55
Shayne Gostisbehere, D, CAR: 52
Seth Jones, D, FLA: 52
Cole Hutson, D, WSH: 51
Bowen Byram, D, CHI: 50
Filip Hronek, D, VAN: 50
Thomas Harley, D, DAL: 49
Rasmus Andersson, D, VGK: 49
Brandon Montour, D, SEA: 48
MacKenzie Weegar, D, UTA: 47
Dougie Hamilton, D, NJD: 46
Vince Dunn, D, SEA: 46
Luke Hughes, D, NJD: 45
Philip Broberg, D, STL: 45
Thomas Chabot, D, OTT: 44
Travis Sanheim, D, PHI: 44
Mattias Samuelsson, D, BUF: 43
Sam Malinski, D, COL: 43
Simon Nemec, D, CGY: 40
Mattias Ekholm, D, EDM: 40
Kris Letang, D, PIT: 40
K'Andre Miller, D, CAR: 39
Tony DeAngelo, D, NYI: 39
Noah Hanifin, D, VGK: 39
Justin Faulk, D, DET: 38
Mike Matheson, D, MTL: 38
Jamie Drysdale, D, PHI: 38
Alexander Nikishin, D, CAR: 37
Denton Mateychuk, D, CBJ: 37
Aaron Ekblad, D, FLA: 37
Dmitry Orlov, D, SJS: 37
Owen Power, D, BUF: 36
Olen Zellweger, D, BUF: 35
Zayne Parekh, D, CGY: 35
Devon Toews, D, COL: 35
Ryan Ufko, D, NSH: 35
Sean Durzi, D, NYR: 35
Neal Pionk, D, WPG: 35
Mason Lohrei, D, BOS: 34
Gustav Forsling, D, FLA: 34
Jacob Trouba, D, SJS: 34
Cam Fowler, D, STL: 34
Sam Rinzel, D, CHI: 33
Brent Burns, D, COL: 33
Jake Walman, D, EDM: 33
Jordan Spence, D, OTT: 33
Colton Parayko, D, STL: 33
J.J. Moser, D, TBL: 33
Zeev Buium, D, VAN: 33
Jaccob Slavin, D, CAR: 32
Sean Walker, D, CAR: 32
Damon Severson, D, CBJ: 32
Simon Edvinsson, D, DET: 32
Vladislav Gavrikov, D, NYR: 32
Darnell Nurse, D, SJS: 32
Morgan Rielly, D, TOR: 32
Artyom Levshunov, D, CHI: 31
Ivan Provorov, D, CBJ: 31
Esa Lindell, D, DAL: 31
Drew Doughty, D, LAK: 31
Nicolas Hague, D, NSH: 31
Ryan Pulock, D, NYI: 31
Pavel Mintyukov, D, ANA: 30
Hampus Lindholm, D, BOS: 30
Josh Manson, D, COL: 30
Alexander Romanov, D, NYI: 30
Carter Yakemchuk, D, OTT: 30
Samuel Girard, D, PIT: 30
Sam Dickinson, D, SJS: 30
Logan Mailloux, D, STL: 30
Oliver Ekman-Larsson, D, TOR: 30
Martin Fehérváry, D, WSH: 30
