Andrei Vasilevskiy, G, TBL: 39
Jake Oettinger, G, DAL: 38
Logan Thompson, G, WSH: 35
Karel Vejmelka, G, UTA: 34
Jeremy Swayman, G, BOS: 33
Brandon Bussi, G, CAR: 33
Jesper Wallstedt, G, MIN: 33
Jakub Dobes, G, MTL: 32
Igor Shesterkin, G, NYR: 32
Connor Hellebuyck, G, WPG: 31
Lukas Dostal, G, ANA: 31
Ilya Sorokin, G, NYI: 31
Linus Ullmark, G, OTT: 31
Jacob Markstrom, G, FLA: 30
Juuse Saros, G, NSH: 29
Ukko-Pekka Luukkonen, G, BUF: 28
Scott Wedgewood, G, COL: 28
Jake Allen, G, NJD: 28
Sergei Bobrovsky, G, TOR: 28
Dan Vladar, G, PHI: 27
Carter Hart, G, VGK: 27
John Gibson, G, DET: 26
Mackenzie Blackwood, G, COL: 25
Jet Greaves, G, CBJ: 25
Frederik Andersen, G, EDM (INJ.): 25
Yaroslav Askarov, G, SJS: 25
Spencer Knight, G, CHI: 24
Joel Hofer, G, STL: 24
Arturs Silovs, G, PIT: 23
Darcy Kuemper, G, LAK: 21
Dustin Wolf, G, CGY: 20
Akira Schmid, G, FLA: 20
Joey Daccord, G, SEA: 20
Pyotr Kochetkov, G, CAR: 19
Alex Lyon or Colten Ellis, G, BUF: 18
Tristan Jarry or Devon Levi, G, EDM: 18
Adin Hill, G, VGK: 18
Sergei Murashov, G, PIT: 17
Alex Nedeljkovic or Eric Comrie, G, SJS: 17
Jordan Binnington, G, STL: 17
Joseph Woll, G, PHI: 17
Anton Forsberg, G, LAK: 16
Anthony Stolarz, G, TOR: 16
Nico Daws, G, NJD: 16
Jacob Fowler or Sam Montembeault, G, MTL: 15
Charlie Lindgren, G, WSH: 15
Thatcher Demko, G, VAN: 14
Daniil Tarasov, G, DET: 14
Elvis Merzlikins, G, CBJ: 13
Filip Gustavsson or Calvin Pickard, G, MIN: 13
Samuel Ersson, G or Leevi Merilainen, G: 12
Ville Husso or Laurent Brossoit, G, ANA: 11
Devin Cooley or Arsenii Sergeev, G, CGY: 11
Casey DeSmith, G, DAL: 11
Kevin Lankinen, G, VAN: 11
Michael DiPietro, G, BOS: 10
Philipp Grubauer, G, SEA: 10
Sebastian Cossa, G, UTA: 10
Semyon Varlamov or Vitek Vanecek, G, NYI: 9
Justus Annunen, G, NSH: 9
Arvid Soderblom or Drew Commesso, G, CHI: 8
Dennis Hildeby or Jonas Johansson, G, TBL: 8
Joonas Korpisalo, G, NYR: 8
Stuart Skinner, G, WPG: 7
