,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,,-additional
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
1,Rodrigo Abols,30,PHI,C,42,306,398,43.5,-6.3,211,268,44.1,-6.1,9.2,90.4,99.5,43.2,56.8,10:30,9:49,11,14,-1.8,88,48.9,abolsro01
2,Noel Acciari,34,PIT,C,67,667,737,47.5,-3.1,475,508,48.3,-2.3,13.4,91.7,105.1,16.7,83.3,13:42,11:03,12,22,0.4,165,56.4,acciano01
3,Andrew Agozzino,35,UTA,LW,2,5,14,26.3,-22.1,5,8,38.5,-12.5,0.0,100.0,100.0,50.0,50.0,6:08,6:08,1,1,-0.2,1,0.0,agozzan01
4,Jack Ahcan,28,COL,D,11,153,102,60.0,7.4,112,78,58.9,7.0,7.8,90.9,98.7,41.5,58.5,11:32,11:30,0,6,3.7,19,42.1,ahcanja01
5,Sebastian Aho,28,CAR,F,79,1479,925,61.5,2.7,1090,718,60.3,2.3,10.2,86.3,96.6,63.8,36.2,19:37,14:45,31,109,12.9,406,48.0,ahose01
6,Marek Alscher,21,FLA,D,4,64,57,52.9,4.5,46,41,52.9,3.6,19.4,92.0,111.4,51.4,48.6,20:22,18:45,1,3,0.8,13,46.2,alschma01
7,Michael Amadio,29,OTT,C,81,1068,1085,49.6,-4.2,791,743,51.6,-2.6,11.6,89.3,100.9,30.6,69.4,16:07,14:54,33,60,3.5,184,52.2,amadimi01
8,Nils Åman,25,VAN,C,2,15,22,40.5,-8.2,12,7,63.2,17.6,16.7,75.0,91.7,50.0,50.0,8:40,8:40,0,1,0.1,3,33.3,amanni01
9,Josh Anderson,31,MTL,RW,72,735,845,46.5,-2.4,496,596,45.4,-4.8,10.8,88.2,99.0,33.1,66.9,14:01,11:42,8,42,-3.8,173,51.4,anderjo05
10,Michael Anderson,26,LAK,D,80,1393,1386,50.1,-2.5,989,1014,49.4,-3.2,9.5,92.2,101.7,40.2,59.8,20:34,18:13,14,53,-2.9,173,35.3,andermi02
11,Rasmus Andersson,29,TOT,D,81,1491,1502,49.8,-3.9,1072,1086,49.7,-3.7,10.4,89.5,99.9,52.2,47.8,23:12,18:58,27,102,1.0,402,44.3,anderra01
11,Rasmus Andersson,29,CGY,D,48,875,948,48.0,-3.9,628,690,47.6,-3.6,11.0,90.2,101.2,46.3,53.7,24:14,18:60,18,66,-4.2,259,43.2,anderra01
